number,results
843,18500000
844,18200000
845,18700000
846,16300000
847,17600000
848,17800000
849,18200000
850,46900000
851,17000000
852,21600000
853,19400000
854,18400000
855,26800000
856,17800000
857,15700000
858,17100000
859,16100000
860,22700000
861,16400000
862,15800000
863,18100000
864,19600000
865,17100000
866,37000000
867,15500000
868,16600000
869,16200000
870,20700000
871,16100000
872,16000000
873,15300000
874,15400000
875,18000000
876,15900000
877,27500000
878,16000000
879,15700000
880,25500000
881,16100000
882,16000000
883,16800000
884,15500000
885,16800000
886,21600000
887,15800000
888,46400000
889,17800000
890,22900000
891,16200000
892,15400000
893,16300000
894,15000000
895,16300000
896,15300000
897,15300000
898,16300000
899,21400000
900,105000000
901,21000000
902,20700000
903,18800000
904,18100000
905,20200000
906,16800000
907,16600000
908,17400000
909,18000000
910,22700000
911,31700000
912,18400000
913,17100000
914,17500000
915,18100000
916,18300000
917,17100000
918,18900000
919,18100000
920,27800000
921,17200000
922,17300000
923,16100000
924,17300000
925,25400000
926,17600000
927,16200000
928,18100000
929,16800000
930,22600000
931,16100000
932,15600000
933,16600000
934,15400000
935,16000000
936,16000000
937,16100000
938,15200000
939,15500000
940,22300000
941,16600000
942,15400000
943,15300000
944,16600000
945,17000000
946,15100000
947,14600000
948,15400000
949,17900000
950,36100000
951,17100000
952,17000000
953,15400000
954,17700000
955,16700000
956,15900000
957,14900000
958,15200000
959,15600000
960,39300000
961,17100000
962,17200000
963,16700000
964,18000000
965,18000000
966,17300000
967,15900000
968,18200000
969,15600000
970,25000000
971,18900000
972,20700000
973,18400000
974,17100000
975,17600000
976,17700000
977,18800000
978,31600000
979,16000000
980,30100000
981,17300000
982,15300000
983,15500000
984,15500000
985,17900000
986,16500000
987,16600000
988,17100000
989,16500000
990,29200000
991,16600000
992,17300000
993,17300000
994,17000000
995,18900000
996,18100000
997,17000000
998,19800000
999,47400000
1000,275000000
1001,24300000
1002,12900000
1003,10300000
1004,10100000
1005,10100000
1006,9120000
1007,13900000
1008,10400000
1009,8980000
1010,15700000
1011,10600000
1012,10100000
1013,8790000
1014,8720000
1015,9980000
1016,8890000
1017,8240000
1018,8370000
1019,7770000
1020,14500000
1021,9310000
1022,7960000
1023,8690000
1024,61500000
1025,8710000
1026,7510000
1027,7290000
1028,7720000
1029,7300000
1030,10200000
1031,7620000
1032,7440000
1033,7230000
1034,7000000
1035,7500000
1036,6690000
1037,6780000
1038,6980000
1039,6450000
1040,10600000
1041,6990000
1042,6640000
1043,6580000
1044,6850000
1045,7230000
1046,6660000
1047,6420000
1048,6700000
1049,7120000
1050,19500000
1051,7110000
1052,6660000
1053,6890000
1054,6540000
1055,7460000
1056,6720000
1057,6310000
1058,6710000
1059,6470000
1060,11000000
1061,6740000
1062,6510000
1063,6690000
1064,6610000
1065,6940000
1066,8130000
1067,6970000
1068,6350000
1069,6560000
1070,8230000
1071,6670000
1072,6540000
1073,6430000
1074,6200000
1075,6890000
1076,6090000
1077,6370000
1078,6220000
1079,6190000
1080,31400000
1081,6520000
1082,6290000
1083,6320000
1084,6070000
1085,6730000
1086,6240000
1087,5990000
1088,6930000
1089,6270000
1090,8660000
1091,6350000
1092,6310000
1093,6230000
1094,5880000
1095,6840000
1096,6170000
1097,6200000
1098,7030000
1099,8130000
1100,36200000
1101,10200000
1102,8350000
1103,8120000
1104,7830000
1105,8300000
1106,7260000
1107,7580000
1108,7690000
1109,7330000
1110,10500000
1111,16800000
1112,8260000
1113,7340000
1114,6980000
1115,7280000
1116,6790000
1117,7040000
1118,7320000
1119,6760000
1120,9530000
1121,7040000
1122,7530000
1123,7140000
1124,6530000
1125,8140000
1126,6520000
1127,6550000
1128,6440000
1129,6300000
1130,8450000
1131,6480000
1132,6150000
1133,6390000
1134,6360000
1135,6460000
1136,6960000
1137,5960000
1138,5960000
1139,5930000
1140,9020000
1141,6160000
1142,6590000
1143,5930000
1144,6220000
1145,6230000
1146,5770000
1147,5890000
1148,5770000
1149,6170000
1150,13100000
1151,6180000
1152,8040000
1153,5720000
1154,5700000
1155,8560000
1156,6410000
1157,5800000
1158,5690000
1159,5740000
1160,7780000
1161,5910000
1162,5470000
1163,5770000
1164,5710000
1165,5910000
1166,5950000
1167,5580000
1168,5600000
1169,5710000
1170,7550000
1171,5670000
1172,5420000
1173,5690000
1174,5330000
1175,6350000
1176,5740000
1177,6110000
1178,5490000
1179,5530000
1180,8900000
1181,5960000
1182,5960000
1183,5570000
1184,5660000
1185,6030000
1186,5820000
1187,5400000
1188,7370000
1189,5600000
1190,8220000
1191,5590000
1192,5560000
1193,5210000
1194,5500000
1195,5910000
1196,5500000
1197,5500000
1198,6060000
1199,8180000
1200,85700000
1201,9390000
1202,7870000
1203,7630000
1204,8140000
1205,7570000
1206,7200000
1207,6930000
1208,7610000
1209,7030000
1210,9300000
1211,7860000
1212,9070000
1213,7760000
1214,6310000
1215,7200000
1216,6390000
1217,6820000
1218,6150000
1219,5960000
1220,10500000
1221,6820000
1222,6590000
1223,6260000
1224,7170000
1225,7020000
1226,5980000
1227,6070000
1228,5710000
1229,5900000
1230,8070000
1231,6310000
1232,5840000
1233,5670000
1234,15900000
1235,6200000
1236,5550000
1237,5500000
1238,5380000
1239,5410000
1240,7780000
1241,5710000
1242,6610000
1243,5330000
1244,5440000
1245,5810000
1246,5810000
1247,5210000
1248,6400000
1249,5520000
1250,16100000
1251,5820000
1252,5930000
1253,5350000
1254,6220000
1255,6310000
1256,6340000
1257,5290000
1258,5340000
1259,5220000
1260,9080000
1261,5210000
1262,5010000
1263,5120000
1264,5680000
1265,5450000
1266,5160000
1267,5080000
1268,5700000
1269,5450000
1270,6580000
1271,5400000
1272,5380000
1273,5150000
1274,5330000
1275,6230000
1276,5240000
1277,5310000
1278,5140000
1279,5280000
1280,50000000
1281,5220000
1282,4950000
1283,5130000
1284,5590000
1285,5590000
1286,4880000
1287,5180000
1288,5500000
1289,5000000
1290,7440000
1291,5010000
1292,5180000
1293,5020000
1294,4880000
1295,5510000
1296,7250000
1297,4850000
1298,5130000
1299,7220000
1300,36500000
1301,7750000
1302,6580000
1303,6580000
1304,6340000
1305,6600000
1306,6520000
1307,6340000
1308,6080000
1309,6100000
1310,7970000
1311,6620000
1312,6300000
1313,6320000
1314,6670000
1315,5790000
1316,5380000
1317,5300000
1318,5210000
1319,5010000
1320,9050000
1321,5390000
1322,5330000
1323,5040000
1324,5470000
1325,5870000
1326,5090000
1327,5200000
1328,5820000
1329,5050000
1330,6800000
1331,5330000
1332,5590000
1333,7470000
1334,5300000
1335,5450000
1336,5380000
1337,11400000
1338,5160000
1339,4900000
1340,7160000
1341,5320000
1342,5070000
1343,4940000
1344,5750000
1345,6060000
1346,5040000
1347,4870000
1348,5080000
1349,5220000
1350,12200000
1351,5250000
1352,5030000
1353,5060000
1354,4860000
1355,5400000
1356,5120000
1357,5100000
1358,5000000
1359,5010000
1360,7260000
1361,4970000
1362,4820000
1363,5020000
1364,5220000
1365,6880000
1366,8840000
1367,5010000
1368,5480000
1369,4820000
1370,6020000
1371,5230000
1372,4890000
1373,4820000
1374,4960000
1375,5400000
1376,4930000
1377,5050000
1378,4880000
1379,4880000
1380,8160000
1381,5280000
1382,5390000
1383,4900000
1384,5180000
1385,5410000
1386,5380000
1387,5470000
1388,6330000
1389,6610000
1390,9480000
1391,8810000
1392,11400000
1393,14600000
1394,17900000
1395,5140000
1396,4470000
1397,4610000
1398,4660000
1399,6070000
1400,32800000
1401,7310000
1402,6190000
1403,5840000
1404,7200000
1405,6080000
1406,5760000
1407,5650000
1408,6020000
1409,5470000
1410,7320000
1411,6210000
1412,6190000
1413,4790000
1414,6050000
1415,6040000
1416,5030000
1417,4830000
1418,4770000
1419,4730000
1420,6710000
1421,5140000
1422,5110000
1423,4950000
1424,5990000
1425,5700000
1426,4690000
1427,4780000
1428,5070000
1429,5020000
1430,6810000
1431,5610000
1432,5930000
1433,6090000
1434,6080000
1435,6950000
1436,10800000
1437,4490000
1438,4450000
1439,4520000
1440,13600000
1441,5480000
1442,4720000
1443,4320000
1444,4750000
1445,5020000
1446,4280000
1447,4410000
1448,4560000
1449,4610000
1450,9630000
1451,4540000
1452,4720000
1453,5100000
1454,4330000
1455,5070000
1456,4730000
1457,4280000
1458,4480000
1459,4320000
1460,6290000
1461,4800000
1462,4250000
1463,4330000
1464,4490000
1465,4520000
1466,4480000
1467,4460000
1468,4520000
1469,4470000
1470,6000000
1471,4980000
1472,4520000
1473,4720000
1474,4340000
1475,5310000
1476,4680000
1477,4500000
1478,4380000
1479,4420000
1480,7690000
1481,4470000
1482,4960000
1483,4370000
1484,4530000
1485,4710000
1486,4230000
1487,4210000
1488,4820000
1489,4260000
1490,6680000
1491,4390000
1492,5130000
1493,4700000
1494,4440000
1495,5230000
1496,4440000
1497,4220000
1498,4420000
1499,7100000
1500,90200000
1501,7830000
1502,6300000
1503,5930000
1504,5950000
1505,6360000
1506,5630000
1507,4870000
1508,4790000
1509,4860000
1510,6370000
1511,4970000
1512,6430000
1513,4670000
1514,4630000
1515,6400000
1516,5030000
1517,4710000
1518,4770000
1519,4670000
1520,8490000
1521,5250000
1522,4900000
1523,4520000
1524,4830000
1525,5650000
1526,4540000
1527,4450000
1528,4570000
1529,4420000
1530,6420000
1531,4630000
1532,4450000
1533,4560000
1534,4490000
1535,5000000
1536,7940000
1537,4640000
1538,4370000
1539,4480000
1540,6260000
1541,4600000
1542,4330000
1543,4500000
1544,5670000
1545,5320000
1546,4310000
1547,4340000
1548,4270000
1549,4540000
1550,9370000
1551,4760000
1552,4720000
1553,4460000
1554,4350000
1555,5990000
1556,4470000
1557,4410000
1558,4630000
1559,4370000
1560,6430000
1561,4300000
1562,4110000
1563,5210000
1564,4370000
1565,4690000
1566,5660000
1567,4190000
1568,4430000
1569,4270000
1570,5370000
1571,4410000
1572,4470000
1573,4680000
1574,4280000
1575,5630000
1576,4130000
1577,4930000
1578,4170000
1579,4500000
1580,6960000
1581,4220000
1582,4280000
1583,4220000
1584,4360000
1585,4730000
1586,4070000
1587,4270000
1588,6900000
1589,4260000
1590,6020000
1591,4170000
1592,4220000
1593,4090000
1594,4220000
1595,4620000
1596,4480000
1597,4050000
1598,5020000
1599,6540000
1600,129000000
1601,6260000
1602,5340000
1603,5080000
1604,5180000
1605,5410000
1606,4970000
1607,5550000
1608,4710000
1609,4840000
1610,6120000
1611,4900000
1612,4770000
1613,4460000
1614,4430000
1615,4880000
1616,5390000
1617,4380000
1618,4770000
1619,4250000
1620,8710000
1621,4550000
1622,4390000
1623,4230000
1624,4390000
1625,5670000
1626,4400000
1627,4300000
1628,4350000
1629,4220000
1630,5910000
1631,4250000
1632,4920000
1633,4380000
1634,4260000
1635,4740000
1636,4270000
1637,4030000
1638,4310000
1639,4190000
1640,6370000
1641,4250000
1642,4700000
1643,4000000
1644,5140000
1645,4610000
1646,4100000
1647,4310000
1648,4590000
1649,4980000
1650,9760000
1651,4380000
1652,4330000
1653,4030000
1654,4200000
1655,4550000
1656,4250000
1657,3970000
1658,4120000
1659,4230000
1660,5850000
1661,5230000
1662,4350000
1663,3950000
1664,4920000
1665,4520000
1666,7920000
1667,4370000
1668,4120000
1669,4210000
1670,5620000
1671,8070000
1672,4140000
1673,4010000
1674,4200000
1675,4400000
1676,4060000
1677,4320000
1678,5080000
1679,3990000
1680,10900000
1681,4180000
1682,4080000
1683,4140000
1684,4530000
1685,4490000
1686,4000000
1687,3950000
1688,29200000
1689,4210000
1690,5690000
1691,3960000
1692,4000000
1693,3750000
1694,3960000
1695,4350000
1696,3950000
1697,4080000
1698,4140000
1699,5560000
1700,33800000
1701,5810000
1702,4540000
1703,4410000
1704,4560000
1705,4550000
1706,4500000
1707,4530000
1708,4250000
1709,4370000
1710,5770000
1711,4880000
1712,4780000
1713,4650000
1714,4350000
1715,4790000
1716,4360000
1717,5090000
1718,4470000
1719,4150000
1720,6140000
1721,4740000
1722,4900000
1723,4450000
1724,4280000
1725,4910000
1726,4040000
1727,4440000
1728,5870000
1729,4110000
1730,5510000
1731,4160000
1732,4390000
1733,4300000
1734,4620000
1735,4610000
1736,4190000
1737,4050000
1738,4070000
1739,4030000
1740,5760000
1741,4290000
1742,4640000
1743,4360000
1744,4390000
1745,4680000
1746,4200000
1747,4090000
1748,4340000
1749,4550000
1750,11000000
1751,4420000
1752,4530000
1753,4250000
1754,4170000
1755,4920000
1756,4390000
1757,4260000
1758,5130000
1759,4200000
1760,5810000
1761,4170000
1762,4160000
1763,4280000
1764,4340000
1765,4360000
1766,4250000
1767,4780000
1768,4200000
1769,4280000
1770,5720000
1771,4470000
1772,4370000
1773,4150000
1774,4280000
1775,5110000
1776,5470000
1777,5010000
1778,4450000
1779,4190000
1780,7090000
1781,4450000
1782,4580000
1783,4540000
1784,5030000
1785,4890000
1786,4260000
1787,5160000
1788,4860000
1789,5920000
1790,6280000
1791,4910000
1792,5150000
1793,4700000
1794,4500000
1795,4950000
1796,4760000
1797,4560000
1798,4930000
1799,6110000
1800,45800000
1801,7100000
1802,5620000
1803,5390000
1804,5460000
1805,5410000
1806,5380000
1807,4800000
1808,5500000
1809,5800000
1810,6560000
1811,5640000
1812,7260000
1813,5230000
1814,5710000
1815,6500000
1816,5110000
1817,5030000
1818,6300000
1819,5380000
1820,7510000
1821,5790000
1822,5380000
1823,4950000
1824,5490000
1825,5860000
1826,5130000
1827,5160000
1828,5340000
1829,5250000
1830,8370000
1831,5400000
1832,5490000
1833,5390000
1834,5350000
1835,5670000
1836,6020000
1837,5640000
1838,5210000
1839,5480000
1840,8220000
1841,5630000
1842,5400000
1843,5380000
1844,5880000
1845,5930000
1846,5740000
1847,5510000
1848,7730000
1849,6130000
1850,11800000
1851,6620000
1852,5750000
1853,5680000
1854,5940000
1855,6320000
1856,6170000
1857,5960000
1858,6010000
1859,6120000
1860,10300000
1861,7090000
1862,6380000
1863,6600000
1864,6880000
1865,7370000
1866,6910000
1867,6320000
1868,7040000
1869,7020000
1870,9540000
1871,6960000
1872,7020000
1873,6430000
1874,6700000
1875,7390000
1876,7280000
1877,6430000
1878,6780000
1879,6660000
1880,11700000
1881,9750000
1882,7150000
1883,7030000
1884,7020000
1885,7620000
1886,8440000
1887,7580000
1888,9820000
1889,8170000
1890,12700000
1891,7730000
1892,7570000
1893,7600000
1894,7780000
1895,8960000
1896,8710000
1897,8250000
1898,8970000
1899,11600000
1900,36200000
1901,13900000
1902,11800000
1903,12200000
1904,12500000
1905,15400000
1906,12800000
1907,13200000
1908,13500000
1909,13000000
1910,18400000
1911,16300000
1912,15700000
1913,14800000
1914,17700000
1915,17800000
1916,16900000
1917,19500000
1918,20600000
1919,20100000
1920,45500000
1921,18800000
1922,19200000
1923,19700000
1924,19500000
1925,21300000
1926,19600000
1927,19600000
1928,20400000
1929,21400000
1930,29800000
1931,22100000
1932,21200000
1933,21900000
1934,21800000
1935,22500000
1936,23200000
1937,22900000
1938,23800000
1939,26300000
1940,32200000
1941,25500000
1942,24000000
1943,23000000
1944,27500000
1945,35100000
1946,25600000
1947,26100000
1948,28100000
1949,28600000
1950,46400000
1951,27400000
1952,27700000
1953,28500000
1954,29600000
1955,31700000
1956,31600000
1957,31600000
1958,32600000
1959,36300000
1960,51100000
1961,34500000
1962,36400000
1963,36300000
1964,38500000
1965,41300000
1966,39600000
1967,41500000
1968,44700000
1969,48100000
1970,72700000
1971,45700000
1972,47700000
1973,48700000
1974,49200000
1975,53600000
1976,53200000
1977,52900000
1978,57200000
1979,61900000
1980,84800000
1981,63800000
1982,66900000
1983,67400000
1984,73000000
1985,76100000
1986,76000000
1987,77100000
1988,80900000
1989,90700000
1990,110000000
1991,92600000
1992,97200000
1993,98100000
1994,107000000
1995,139000000
1996,160000000
1997,146000000
1998,155000000
1999,226000000
2000,415000000
2001,228000000
2002,226000000
2003,255000000
2004,272000000
2005,346000000
2006,387000000
2007,436000000
2008,526000000
2009,633000000
2010,799000000
2011,933000000
2012,1140000000
2013,1400000000
2014,1780000000
2015,2940000000
2016,132000000
2017,34500000
2018,28200000
2019,16900000
2020,36200000
2021,9480000
2022,11400000
2023,9240000
2024,8990000
2025,12000000
2026,6240000
2027,4980000
2028,5100000
2029,4790000
2030,11400000
2031,4710000
2032,4710000
2033,5200000
2034,4460000
2035,5380000
2036,4620000
2037,4550000
2038,4090000
2039,4060000
2040,6660000
2041,4360000
2042,4050000
2043,3910000
2044,4220000
2045,4520000
2046,5300000
2047,4090000
2048,14100000
2049,3910000
2050,10200000
2051,3540000
2052,4620000
2053,3270000
2054,3330000
2055,3690000
2056,3330000
2057,3250000
2058,3200000
2059,3190000
2060,5140000
2061,3630000
2062,3270000
2063,3190000
2064,3380000
2065,3510000
2066,3340000
2067,3100000
2068,3280000
2069,3040000
2070,4460000
2071,3280000
2072,3450000
2073,3220000
2074,3170000
2075,3400000
2076,3000000
2077,3520000
2078,3020000
2079,3130000
2080,4830000
2081,3230000
2082,3060000
2083,3040000
2084,3100000
2085,3220000
2086,3060000
2087,2900000
2088,3560000
2089,2920000
2090,3950000
2091,3100000
2092,3100000
2093,2970000
2094,3120000
2095,3310000
2096,2970000
2097,2980000
2098,3130000
2099,4280000
2100,20700000
2101,5340000
2102,4130000
2103,4300000
2104,4810000
2105,5350000
2106,4410000
2107,4390000
2108,4170000
2109,4080000
2110,5460000
2111,4820000
2112,4910000
2113,3810000
2114,4200000
2115,4330000
2116,3250000
2117,3160000
2118,3540000
2119,3010000
2120,4590000
2121,5190000
2122,3620000
2123,3500000
2124,3190000
2125,3620000
2126,3300000
2127,2980000
2128,3250000
2129,2950000
2130,4320000
2131,3480000
2132,3480000
2133,3590000
2134,3080000
